samples_per_class,training_samples,repeat,split,accuracy,balanced_accuracy,macro_f1
50,200,1,validation,0.94,0.94,0.9399029548501184
50,200,1,independent_test,0.96,0.96,0.9598324983132043
50,200,2,validation,0.95,0.95,0.9497745022477095
50,200,2,independent_test,0.97,0.97,0.9700428600847497
50,200,3,validation,0.94,0.9400000000000001,0.9391870089764257
50,200,3,independent_test,0.965,0.965,0.9646882570030403
50,200,4,validation,0.94,0.94,0.9400301069562663
50,200,4,independent_test,0.9575,0.9575,0.9573156786921166
50,200,5,validation,0.9425,0.9425,0.9421865161299772
50,200,5,independent_test,0.9475,0.9475,0.9473082176762797
50,200,6,validation,0.9625,0.9625,0.9624479360858909
50,200,6,independent_test,0.975,0.975,0.9747581697945163
50,200,7,validation,0.93,0.9299999999999999,0.9293413813811584
50,200,7,independent_test,0.95,0.95,0.9495224257292697
50,200,8,validation,0.94,0.94,0.9396948964373374
50,200,8,independent_test,0.9625,0.9625,0.9621703899006849
50,200,9,validation,0.945,0.9450000000000001,0.9449217149546385
50,200,9,independent_test,0.9575,0.9575,0.9573549362330237
50,200,10,validation,0.95,0.95,0.9498344180160672
50,200,10,independent_test,0.975,0.9749999999999999,0.9749482541082783
100,400,1,validation,0.9675,0.9675,0.9675083304758904
100,400,1,independent_test,0.9725,0.9724999999999999,0.9723842940413487
100,400,2,validation,0.9675,0.9674999999999999,0.9675596792386262
100,400,2,independent_test,0.975,0.975,0.9748828598973208
100,400,3,validation,0.955,0.9550000000000001,0.9541692120434437
100,400,3,independent_test,0.975,0.975,0.9748390545108568
100,400,4,validation,0.965,0.965,0.9649299810932932
100,400,4,independent_test,0.9725,0.9724999999999999,0.9722711500073665
100,400,5,validation,0.95,0.9500000000000001,0.9501579513972725
100,400,5,independent_test,0.975,0.975,0.9749104387689554
100,400,6,validation,0.9525,0.9525,0.9526356486490868
100,400,6,independent_test,0.9725,0.9724999999999999,0.9724358714278388
100,400,7,validation,0.9475,0.9475,0.9471688508373384
100,400,7,independent_test,0.97,0.97,0.9698565919644051
100,400,8,validation,0.965,0.965,0.9647125676985134
100,400,8,independent_test,0.9725,0.9724999999999999,0.9722711500073665
100,400,9,validation,0.965,0.965,0.9647778086204422
100,400,9,independent_test,0.9725,0.9725,0.9722810993043968
100,400,10,validation,0.96,0.96,0.9594279760373421
100,400,10,independent_test,0.9775,0.9775,0.9773923369577452
150,600,1,validation,0.98,0.98,0.9799949658714595
150,600,1,independent_test,0.98,0.98,0.9799619384048958
150,600,2,validation,0.9625,0.9625,0.9624949658714594
150,600,2,independent_test,0.9775,0.9775,0.9774349129359485
150,600,3,validation,0.9525,0.9525000000000001,0.9524271977190257
150,600,3,independent_test,0.98,0.98,0.9798848491843547
150,600,4,validation,0.94,0.94,0.9396130799128322
150,600,4,independent_test,0.97,0.97,0.9699218406384922
150,600,5,validation,0.9625,0.9625,0.9624718944776128
150,600,5,independent_test,0.98,0.98,0.979894928268337
150,600,6,validation,0.9575,0.9575,0.957485050491578
150,600,6,independent_test,0.975,0.975,0.9748734286163935
150,600,7,validation,0.97,0.97,0.9698949603053905
150,600,7,independent_test,0.9775,0.9775,0.977436812776755
