samples_per_class,split,repeats,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
50,independent_test,10,0.962,0.009486832980505136,0.962,0.009486832980505117,0.9617941687535163,0.009555125136221558
50,validation,10,0.944,0.008676276723213572,0.944,0.008676276723213586,0.9437321436035588,0.008820759580338369
100,independent_test,10,0.9734999999999999,0.0021081851067789145,0.9734999999999999,0.0021081851067789393,0.9733524846887601,0.0021287669971760477
100,validation,10,0.9595,0.007619419633774981,0.9595,0.007619419633774944,0.9593048006091248,0.007660102246656123
150,independent_test,10,0.9782500000000001,0.005658081732256014,0.9782500000000001,0.005658081732256014,0.978174054864523,0.005677733723190256
150,validation,10,0.9650000000000001,0.012692955176439813,0.9650000000000001,0.012692955176439785,0.9649472816499557,0.012787531579376479
200,independent_test,10,0.98125,0.003952847075210496,0.98125,0.003952847075210451,0.9811816083010868,0.0039700002244250805
200,validation,10,0.96875,0.006373774391990963,0.96875,0.0063737743919909644,0.9687851598173699,0.006331631380482907
250,independent_test,10,0.9862500000000001,0.002429563289518904,0.9862500000000001,0.0024295632895189457,0.9862088365487747,0.002432391151943916
250,validation,10,0.97475,0.0029930474993446685,0.97475,0.0029930474993446615,0.9748091979815194,0.002969283071041005
300,independent_test,10,0.9875,0.0,0.9875,0.0,0.9874619327604401,0.0
300,validation,10,0.975,0.0,0.975,0.0,0.9750723838611833,0.0
