threshold_A,threshold_B,valid_physical_pair,n,predicted_leakage,predicted_no_leakage,no_leakage_between_A_B,accuracy,precision,recall,f1,tn,fp,fn,tp,balanced_accuracy
0.095,0.015,True,2500,1977.0,523.0,523.0,0.9748,0.9898836621143147,0.9785,0.984158913754086,480.0,20.0,43.0,1957.0,0.96925
0.095,0.025,True,2500,1983.0,517.0,517.0,0.974,0.9878971255673222,0.9795,0.9836806427316093,476.0,24.0,41.0,1959.0,0.96575
0.095,0.005,True,2500,1975.0,525.0,525.0,0.974,0.9898734177215189,0.9775,0.9836477987421384,480.0,20.0,45.0,1955.0,0.96875
0.095,-0.005,True,2500,1973.0,527.0,527.0,0.9732,0.9898631525595539,0.9765,0.9831361691417065,480.0,20.0,47.0,1953.0,0.96825
0.095,-0.015,True,2500,1972.0,528.0,528.0,0.9728,0.9898580121703854,0.976,0.9828801611278952,480.0,20.0,48.0,1952.0,0.968
0.095,-0.025,True,2500,1964.0,536.0,536.0,0.9696,0.9898167006109979,0.972,0.9808274470232089,480.0,20.0,56.0,1944.0,0.966
0.095,-0.035,True,2500,1962.0,538.0,538.0,0.9688,0.9898063200815495,0.971,0.9803129732458354,480.0,20.0,58.0,1942.0,0.9655
0.095,0.035,True,2500,2005.0,495.0,495.0,0.9684,0.9790523690773068,0.9815,0.980274656679151,458.0,42.0,37.0,1963.0,0.94875
0.095,-0.045,True,2500,1957.0,543.0,543.0,0.9668,0.9897802759325498,0.9685,0.9790245135203437,480.0,20.0,63.0,1937.0,0.96425
0.105,0.025,True,2500,1938.0,562.0,562.0,0.9656,0.9938080495356038,0.963,0.9781615033011681,488.0,12.0,74.0,1926.0,0.9695
0.105,0.015,True,2500,1930.0,570.0,570.0,0.9656,0.9958549222797928,0.961,0.9781170483460558,492.0,8.0,78.0,1922.0,0.9724999999999999
0.085,0.015,True,2500,2034.0,466.0,466.0,0.9648,0.9700098328416913,0.9865,0.9781854238968766,439.0,61.0,27.0,1973.0,0.93225
0.105,0.005,True,2500,1928.0,572.0,572.0,0.9648,0.995850622406639,0.96,0.9775967413441955,492.0,8.0,80.0,1920.0,0.972
0.085,0.025,True,2500,2040.0,460.0,460.0,0.964,0.9681372549019608,0.9875,0.9777227722772278,435.0,65.0,25.0,1975.0,0.92875
0.085,0.005,True,2500,2032.0,468.0,468.0,0.964,0.96998031496063,0.9855,0.9776785714285714,439.0,61.0,29.0,1971.0,0.9317500000000001
0.095,-0.055,True,2500,1950.0,550.0,550.0,0.964,0.9897435897435898,0.965,0.9772151898734178,480.0,20.0,70.0,1930.0,0.9624999999999999
