threshold_A,threshold_B,accuracy,balanced_accuracy,valid_physical_pair,n,tp,tn,fp,fn
0.015,-0.125,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.115,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.105,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.095,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.085,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.075,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.065,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.055,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.045,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.035,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.025,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.015,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,-0.005,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,0.005,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.015,0.015,,0.0,False,2500,,,,
0.015,0.025,,0.0,False,2500,,,,
0.015,0.035,,0.0,False,2500,,,,
0.015,0.045,,0.0,False,2500,,,,
0.015,0.055,,0.0,False,2500,,,,
0.015,0.065,,0.0,False,2500,,,,
0.015,0.075,,0.0,False,2500,,,,
0.015,0.085,,0.0,False,2500,,,,
0.025,-0.125,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.115,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.105,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.095,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.085,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.075,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.065,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.055,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.045,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.035,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.025,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.025,-0.015,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.025,-0.005,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.025,0.005,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.025,0.015,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.025,0.025,,0.0,False,2500,,,,
0.025,0.035,,0.0,False,2500,,,,
0.025,0.045,,0.0,False,2500,,,,
0.025,0.055,,0.0,False,2500,,,,
0.025,0.065,,0.0,False,2500,,,,
0.025,0.075,,0.0,False,2500,,,,
0.025,0.085,,0.0,False,2500,,,,
0.035,-0.125,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.115,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.105,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.095,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.085,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.075,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.065,0.7988,0.49925,True,2500,1997.0,0.0,500.0,3.0
0.035,-0.055,0.7992,0.4995,True,2500,1998.0,0.0,500.0,2.0
0.035,-0.045,0.7992,0.4995,True,2500,1998.0,0.0,500.0,2.0
0.035,-0.035,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.035,-0.025,0.7996,0.49975,True,2500,1999.0,0.0,500.0,1.0
0.035,-0.015,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.035,-0.005,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.035,0.005,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.035,0.015,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.035,0.025,0.8,0.5,True,2500,2000.0,0.0,500.0,0.0
0.035,0.035,,0.0,False,2500,,,,
0.035,0.045,,0.0,False,2500,,,,
0.035,0.055,,0.0,False,2500,,,,
0.035,0.065,,0.0,False,2500,,,,
0.035,0.075,,0.0,False,2500,,,,
0.035,0.085,,0.0,False,2500,,,,
0.045,-0.125,0.7988,0.5015,True,2500,1994.0,3.0,497.0,6.0
0.045,-0.115,0.7988,0.5015,True,2500,1994.0,3.0,497.0,6.0
0.045,-0.105,0.7988,0.5015,True,2500,1994.0,3.0,497.0,6.0
0.045,-0.095,0.7992,0.50175,True,2500,1995.0,3.0,497.0,5.0
0.045,-0.085,0.7996,0.502,True,2500,1996.0,3.0,497.0,4.0
0.045,-0.075,0.8,0.50225,True,2500,1997.0,3.0,497.0,3.0
0.045,-0.065,0.8,0.50225,True,2500,1997.0,3.0,497.0,3.0
0.045,-0.055,0.8004,0.5025,True,2500,1998.0,3.0,497.0,2.0
0.045,-0.045,0.8004,0.5025,True,2500,1998.0,3.0,497.0,2.0
0.045,-0.035,0.8008,0.50275,True,2500,1999.0,3.0,497.0,1.0
0.045,-0.025,0.8008,0.50275,True,2500,1999.0,3.0,497.0,1.0
0.045,-0.015,0.8012,0.503,True,2500,2000.0,3.0,497.0,0.0
0.045,-0.005,0.8012,0.503,True,2500,2000.0,3.0,497.0,0.0
0.045,0.005,0.8012,0.503,True,2500,2000.0,3.0,497.0,0.0
0.045,0.015,0.8012,0.503,True,2500,2000.0,3.0,497.0,0.0
0.045,0.025,0.8012,0.503,True,2500,2000.0,3.0,497.0,0.0
0.045,0.035,0.8008,0.502,True,2500,2000.0,2.0,498.0,0.0
0.045,0.045,,0.0,False,2500,,,,
0.045,0.055,,0.0,False,2500,,,,
0.045,0.065,,0.0,False,2500,,,,
0.045,0.075,,0.0,False,2500,,,,
0.045,0.085,,0.0,False,2500,,,,
0.055,-0.125,0.8096,0.54425,True,2500,1973.0,51.0,449.0,27.0
0.055,-0.115,0.81,0.5445,True,2500,1974.0,51.0,449.0,26.0
0.055,-0.105,0.8104,0.5447500000000001,True,2500,1975.0,51.0,449.0,25.0
0.055,-0.095,0.812,0.5457500000000001,True,2500,1979.0,51.0,449.0,21.0
0.055,-0.085,0.8132,0.5465,True,2500,1982.0,51.0,449.0,18.0
0.055,-0.075,0.8136,0.5467500000000001,True,2500,1983.0,51.0,449.0,17.0
0.055,-0.065,0.814,0.547,True,2500,1984.0,51.0,449.0,16.0
0.055,-0.055,0.8152,0.5477500000000001,True,2500,1987.0,51.0,449.0,13.0
0.055,-0.045,0.816,0.54825,True,2500,1989.0,51.0,449.0,11.0
0.055,-0.035,0.8172,0.549,True,2500,1992.0,51.0,449.0,8.0
0.055,-0.025,0.8176,0.54925,True,2500,1993.0,51.0,449.0,7.0
0.055,-0.015,0.8188,0.55,True,2500,1996.0,51.0,449.0,4.0
0.055,-0.005,0.8192,0.55025,True,2500,1997.0,51.0,449.0,3.0
0.055,0.005,0.8192,0.55025,True,2500,1997.0,51.0,449.0,3.0
0.055,0.015,0.8192,0.55025,True,2500,1997.0,51.0,449.0,3.0
0.055,0.025,0.8188,0.54925,True,2500,1997.0,50.0,450.0,3.0
0.055,0.035,0.8188,0.5485,True,2500,1998.0,49.0,451.0,2.0
0.055,0.045,0.8128,0.532,True,2500,2000.0,32.0,468.0,0.0
0.055,0.055,,0.0,False,2500,,,,
0.055,0.065,,0.0,False,2500,,,,
0.055,0.075,,0.0,False,2500,,,,
0.055,0.085,,0.0,False,2500,,,,
0.065,-0.125,0.8464,0.6505,True,2500,1954.0,162.0,338.0,46.0
0.065,-0.115,0.8468,0.65075,True,2500,1955.0,162.0,338.0,45.0
0.065,-0.105,0.8484,0.65175,True,2500,1959.0,162.0,338.0,41.0
0.065,-0.095,0.85,0.65275,True,2500,1963.0,162.0,338.0,37.0
0.065,-0.085,0.8516,0.65375,True,2500,1967.0,162.0,338.0,33.0
0.065,-0.075,0.8528,0.6545,True,2500,1970.0,162.0,338.0,30.0
0.065,-0.065,0.854,0.65525,True,2500,1973.0,162.0,338.0,27.0
